"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on June 4, 2023","Steph","yes","-","Seemed to work!","I wipe my long haired Dachshund when she goes potty so the bit that stays in the hair down there doesn’t get on the rugs/blankets and I noticed she was bleeding just a bit when she’d pee (not in heat) and even though that was her only symptom, I got concerned and ordered the drops to try to nip it in the bud if that’s what it was. I put it on her food and followed the directions, she ate it and her symptoms went away!",4,"-","-","https://www.amazon.com/gp/customer-reviews/RKA9HH5UPO7EK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B53WDY4M","-","-"
"Reviewed in the United States on June 3, 2023","Maria Ham","yes","-","Improvements","My cat seems to be improving with his UTI problems. Plus he doesn't mind the taste.",5,"-","-","https://www.amazon.com/gp/customer-reviews/RT3C747AOQQGG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B53WDY4M","-","-"
"Reviewed in the United States on June 2, 2023","Amazon Customer","yes","-","Effective treatment at a reasonable price","This product helped my dogs UTI symptoms rather quickly. It helped reduce the urgency to go and when she did go it was more productive. (Begining symptoms were frequent and short urination) It must not have a bad taste because I put it in both her water and mixed it with her food and she ate and drank with no hesitation.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R3I0LYPOVUHGH4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B53WDY4M","-","-"
"Reviewed in the United States on June 2, 2023","Angela L. Clark","yes","-","Life saver","Was freaking out because my heart dance was having UTI symptoms and couldn't afford a very visit. Saw this product on Amazon and it was the perfect thing for my baby. Within a couple of treatments was back to normal. Thank you Beloved Pets Inc.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R1MO8BV9R23O97/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B53WDY4M","-","-"
"Reviewed in the United States on June 2, 2023","Rebecca","yes","-","Works wonderfully!","Labradoodle was having a constant UTI, but since treating her with these drops on a daily basis, it has dissipated.  Saved me from a huge vet bill!",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2E0SMXBIV7L7D/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B53WDY4M","-","-"
"Reviewed in the United States on June 2, 2023","Tonya C Montgomery","yes","-","It works","All I can say is that it works. My dog feels so much better within a couple days..",5,"-","-","https://www.amazon.com/gp/customer-reviews/R3FS4MFDNNKO30/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B53WDY4M","-","-"
"Reviewed in the United States on June 1, 2023","McEntire","yes","-","UTI","Our fur baby was having trouble peeing the vet said he had a uti so I order this off of Amazon and started giving it to him and a few days started seeing a difference. So now I keep it on hand and at the first sign of uti I have it and in a few days he’s all better.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R32O7YZ9JMSDH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B53WDY4M","-","-"
"Reviewed in the United States on June 1, 2023","Mr. Joker","yes","-","Has helped","My pet likes the taste , seems to have helped her, I put on a dog biscuit to administer, good value.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R3FBXSU6K30ZQA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B53WDY4M","-","-"
"Reviewed in the United States on June 1, 2023","Emotionlserenit","yes","-","Gemma likes the flavor","This product seems to be working pretty well and She seems to enjoy it",5,"-","-","https://www.amazon.com/gp/customer-reviews/RWXI6ACCD7VG5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B53WDY4M","-","-"
"Reviewed in the United States on June 1, 2023","Dan Lauderdale","yes","-","Good stuff","Good stuff",5,"-","-","https://www.amazon.com/gp/customer-reviews/RU1GYN1ZB1ZTT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B53WDY4M","-","-"
"Starter Plan or higher is required in order to access reviews beyond 100."
